n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity
256,8,8,0.5,4.519934177398682,4.296064853668213,91.82959747314453,73.41034698486328
256,8,8,0.5,4.286751747131348,4.103107929229736,72.72987365722656,60.52811050415039
256,8,8,0.5,4.1204328536987305,3.98130464553833,61.58589553833008,53.58689880371094
256,8,8,0.5,3.9719290733337402,3.8545451164245605,53.086814880371094,47.20713806152344
256,8,8,0.5,3.8426570892333984,3.771808385848999,46.64925003051758,43.45857238769531
256,8,8,0.5,3.7677016258239746,3.700829267501831,43.280487060546875,40.48086929321289
256,8,8,0.5,3.705235242843628,3.6292128562927246,40.659610748291016,37.68315505981445
256,8,8,0.5,3.6476330757141113,3.6116557121276855,38.38371658325195,37.02732849121094
256,8,8,0.5,3.6102442741394043,3.5747690200805664,36.975074768066406,35.68639373779297
256,8,8,0.5,3.5546042919158936,3.5412721633911133,34.974002838134766,34.51079559326172
256,8,8,0.5,3.543254852294922,3.520458936691284,34.579280853271484,33.79994583129883
256,8,8,0.5,3.522160291671753,3.5097036361694336,33.85748291015625,33.438358306884766
256,8,8,0.5,3.494943141937256,3.4667320251464844,32.94841384887695,32.031890869140625
256,8,8,0.5,3.4765737056732178,3.449840784072876,32.348670959472656,31.49536895751953
256,8,8,0.5,3.4459543228149414,3.442619562149048,31.37321662902832,31.268775939941406
256,8,8,0.5,3.431978702545166,3.404238700866699,30.93779182434082,30.091379165649414
256,8,8,0.5,3.4226346015930176,3.391961097717285,30.650060653686523,29.72418785095215
256,8,8,0.5,3.409839153289795,3.3799524307250977,30.26036262512207,29.369375228881836
256,8,8,0.5,3.389895439147949,3.378326177597046,29.662864685058594,29.321643829345703
256,8,8,0.5,3.3746163845062256,3.374917507171631,29.213075637817383,29.221879959106445
256,8,8,0.5,3.3664064407348633,3.361424446105957,28.974206924438477,28.83021354675293
256,8,8,0.5,3.348896026611328,3.331608295440674,28.47127914428711,27.98331069946289
256,8,8,0.5,3.3450965881347656,3.31888747215271,28.36330795288086,27.629602432250977
256,8,8,0.5,3.3125720024108887,3.3287696838378906,27.455650329589844,27.90399169921875
256,8,8,0.5,3.3314952850341797,3.332322359085083,27.980148315429688,28.003293991088867
256,8,8,0.5,3.303985357284546,3.2977538108825684,27.220901489257812,27.05180549621582
256,8,8,0.5,3.3075573444366455,3.283950090408325,27.318326950073242,26.68096351623535
256,8,8,0.5,3.293583393096924,3.24881649017334,26.939231872558594,25.759822845458984
256,8,8,0.5,3.2679741382598877,3.2659645080566406,26.258085250854492,26.20536231994629
256,8,8,0.5,3.2610840797424316,3.239406108856201,26.077804565429688,25.51856231689453
256,8,8,0.5,3.2473220825195312,3.2279458045959473,25.72137451171875,25.22776985168457
256,8,8,0.5,3.2438430786132812,3.214160919189453,25.63204002380371,24.882417678833008
256,8,8,0.5,3.2172722816467285,3.203665256500244,24.959932327270508,24.62261390686035
256,8,8,0.5,3.207585096359253,3.194488525390625,24.719324111938477,24.397686004638672
256,8,8,0.5,3.2231345176696777,3.1849849224090576,25.106693267822266,24.166929244995117
256,8,8,0.5,3.167947769165039,3.1691977977752686,23.758676528930664,23.78839874267578
256,8,8,0.5,3.161142110824585,3.165342092514038,23.597532272338867,23.696855545043945
256,8,8,0.5,3.1604180335998535,3.16034197807312,23.580440521240234,23.578657150268555
256,8,8,0.5,3.1623010635375977,3.1144981384277344,23.62488555908203,22.522125244140625
256,8,8,0.5,3.128519058227539,3.1179826259613037,22.84013557434082,22.600740432739258
256,8,8,0.5,3.098280906677246,3.107231855392456,22.15982437133789,22.35904884338379
256,8,8,0.5,3.1173338890075684,3.0931434631347656,22.586088180541992,22.0462703704834
