n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity,iteracja
256,8,8,0.3,4.361277103424072,3.767088413238525,78.35713958740234,43.253944396972656,1
256,8,8,0.3,3.7518484592437744,3.5455217361450195,42.59978103637695,34.65777969360352,2
256,8,8,0.3,3.504289150238037,3.381855726242065,33.25779342651367,29.42534065246582,3
256,8,8,0.3,3.345240354537964,3.3275392055511475,28.36738586425781,27.86968231201172,4
256,8,8,0.3,3.297091007232666,3.3375818729400635,27.033876419067383,28.150972366333008,5
256,8,8,0.3,3.246206998825073,3.3088767528533936,25.69269561767578,27.35436248779297,6
256,8,8,0.3,3.21342396736145,3.2617297172546387,24.864070892333984,26.09463882446289,7
256,8,8,0.3,3.196316719055176,3.217214584350586,24.44233703613281,24.9584903717041,8
256,8,8,0.3,3.2158780097961426,3.20404314994812,24.92515563964844,24.631914138793945,9
256,8,8,0.3,3.1481080055236816,3.154654264450073,23.29196548461914,23.44492530822754,10
256,8,8,0.3,3.0594513416290283,3.142209768295288,21.31584358215332,23.154977798461918,11
256,8,8,0.3,3.0749704837799072,3.105025291442871,21.64923667907715,22.30979347229004,12
256,8,8,0.3,3.1041934490203857,3.096712112426758,22.291236877441406,22.12508773803711,13
256,8,8,0.3,3.0029489994049072,3.051100254058838,20.144847869873047,21.13858985900879,14
256,8,8,0.3,3.0293385982513428,3.000999212265014,20.68355369567871,20.105621337890625,15
256,8,8,0.3,2.988664388656616,2.997403621673584,19.859146118164062,20.033449172973636,16
256,8,8,0.3,3.0084662437438965,2.9502127170562744,20.25630760192871,19.110013961791992,17
256,8,8,0.3,2.9570107460021973,2.9503753185272217,19.24037170410156,19.11312484741211,18
256,8,8,0.3,2.905322313308716,2.957712888717652,18.271135330200195,19.25387191772461,19
256,8,8,0.3,2.906921148300171,2.903650999069214,18.30036354064941,18.240612030029297,20
256,8,8,0.3,2.89490270614624,2.895082473754883,18.08173370361328,18.08499336242676,21
256,8,8,0.3,2.892651081085205,2.9087414741516118,18.04106712341309,18.333711624145508,22
256,8,8,0.3,2.871264934539795,2.855802536010742,17.65934181213379,17.388391494750977,23
256,8,8,0.3,2.8924009799957275,2.864796638488769,18.03656005859375,17.54548454284668,24
256,8,8,0.3,2.8371214866638184,2.852702140808105,17.06656837463379,17.334558486938477,25
256,8,8,0.3,2.8098464012146,2.843780517578125,16.60737419128418,17.18060302734375,26
256,8,8,0.3,2.828887701034546,2.829518318176269,16.926631927490234,16.937299728393555,27
256,8,8,0.3,2.758797168731689,2.7800235748291016,15.78085708618164,16.119401931762695,28
256,8,8,0.3,2.808840751647949,2.756644487380981,16.590669631958008,15.746918678283691,29
256,8,8,0.3,2.7791223526000977,2.755488395690918,16.104881286621094,15.728724479675291,30
256,8,8,0.3,2.760251760482788,2.7626540660858154,15.803818702697754,15.841835975646973,31
256,8,8,0.3,2.770051956176758,2.7731823921203613,15.95945644378662,16.00950050354004,32
256,8,8,0.3,2.7251620292663574,2.750419855117798,15.258885383605955,15.64920139312744,33
256,8,8,0.3,2.686809539794922,2.745030879974365,14.6847505569458,15.565093994140623,34
256,8,8,0.3,2.698248624801636,2.690430164337158,14.85369110107422,14.738014221191406,35
256,8,8,0.3,2.7186007499694824,2.7443346977233887,15.159095764160156,15.554269790649414,36
256,8,8,0.3,2.6900484561920166,2.6992928981781006,14.732386589050291,14.869217872619627,37
256,8,8,0.3,2.675567626953125,2.6780669689178467,14.520597457885742,14.556930541992188,38
256,8,8,0.3,2.688181638717652,2.70042085647583,14.704916000366213,14.885995864868164,39
256,8,8,0.3,2.6473567485809326,2.683121681213379,14.11667537689209,14.630698204040527,40
256,8,8,0.3,2.6654906272888184,2.6414237022399902,14.375004768371582,14.03316879272461,41
256,8,8,0.3,2.651484966278076,2.676867961883545,14.17507266998291,14.539480209350586,42
256,8,8,0.3,2.6299681663513184,2.6416330337524414,13.873329162597656,14.03610610961914,43
256,8,8,0.3,2.6501777172088623,2.648273468017578,14.156554222106934,14.129615783691406,44
256,8,8,0.3,2.633591651916504,2.636298179626465,13.923696517944336,13.96142864227295,45
256,8,8,0.3,2.617253065109253,2.640203952789306,13.698047637939451,14.01605224609375,46
256,8,8,0.3,2.610745906829834,2.615195035934448,13.6091947555542,13.669881820678713,47
256,8,8,0.3,2.6328845024108887,2.613708734512329,13.913843154907228,13.649576187133787,48
256,8,8,0.3,2.6185011863708496,2.641119718551636,13.7151517868042,14.02889633178711,49
256,8,8,0.3,2.611628770828247,2.6226649284362797,13.6212158203125,13.772377967834473,50
256,8,8,0.3,2.623028039932251,2.6322479248046875,13.777385711669922,13.90499210357666,51
256,8,8,0.3,2.596971273422241,2.6129143238067627,13.423025131225586,13.638744354248049,52
256,8,8,0.3,2.626784563064575,2.6162028312683105,13.829237937927246,13.68366241455078,53
256,8,8,0.3,2.600574493408203,2.5962979793548584,13.471475601196287,13.413990020751951,54
256,8,8,0.3,2.59631609916687,2.5834035873413086,13.414227485656738,13.242136001586914,55
256,8,8,0.3,2.5786585807800293,2.6090259552001958,13.179444313049316,13.585811614990234,56
256,8,8,0.3,2.583325147628784,2.5912230014801025,13.241096496582031,13.34609031677246,57
256,8,8,0.3,2.595703601837158,2.5799574851989746,13.406023025512695,13.196577072143556,58
256,8,8,0.3,2.591484308242798,2.583531379699707,13.349569320678713,13.243830680847168,59
256,8,8,0.3,2.57084059715271,2.5894205570220947,13.07680892944336,13.32205295562744,60
256,8,8,0.3,2.565903902053833,2.613856554031372,13.012414932250977,13.651594161987305,61
256,8,8,0.3,2.5688607692718506,2.570352792739868,13.05095100402832,13.07043170928955,62
256,8,8,0.3,2.575021743774414,2.5828745365142822,13.131596565246582,13.23512840270996,63
256,8,8,0.3,2.5835349559783936,2.5816118717193604,13.24386978149414,13.218430519104004,64
256,8,8,0.3,2.5447537899017334,2.543461799621582,12.740094184875488,12.723641395568848,65
256,8,8,0.3,2.5727133750915527,2.5727407932281494,13.101319313049316,13.10168743133545,66
256,8,8,0.3,2.556804895401001,2.557537794113159,12.89455223083496,12.904014587402344,67
256,8,8,0.3,2.5885136127471924,2.577537298202514,13.309972763061523,13.164671897888184,68
256,8,8,0.3,2.5424644947052,2.5797929763793945,12.710959434509276,13.194409370422363,69
256,8,8,0.3,2.559910297393799,2.555298089981079,12.934659957885742,12.875140190124512,70
256,8,8,0.3,2.5623409748077397,2.561431884765625,12.96613883972168,12.954357147216797,71
256,8,8,0.3,2.5805702209472656,2.5460526943206787,13.204666137695312,12.756647109985352,72
256,8,8,0.3,2.551483154296875,2.5532264709472656,12.826119422912598,12.848495483398438,73
256,8,8,0.3,2.562520742416382,2.5536508560180664,12.968469619750977,12.853946685791016,74
256,8,8,0.3,2.5455431938171387,2.5703554153442383,12.75014591217041,13.07046890258789,75
256,8,8,0.3,2.574985980987549,2.532273054122925,13.13113021850586,12.582074165344238,76
256,8,8,0.3,2.5477612018585205,2.5381007194519043,12.77846622467041,12.655611038208008,77
256,8,8,0.3,2.526417732238769,2.557194232940674,12.50861358642578,12.89957332611084,78
256,8,8,0.3,2.537871599197388,2.542157888412476,12.652714729309082,12.707058906555176,79
256,8,8,0.3,2.5502004623413086,2.538927793502808,12.809675216674805,12.666086196899414,80
256,8,8,0.3,2.5427136421203613,2.5241687297821045,12.714126586914062,12.48051643371582,81
256,8,8,0.3,2.5197629928588867,2.559117317199707,12.42564296722412,12.92440700531006,82
256,8,8,0.3,2.561856269836426,2.5317258834838867,12.95985221862793,12.57518482208252,83
256,8,8,0.3,2.527090072631836,2.5685484409332275,12.517024040222168,13.04687213897705,84
256,8,8,0.3,2.535560846328736,2.543232679367065,12.623505592346191,12.72072410583496,85
256,8,8,0.3,2.520685911178589,2.5278422832489014,12.437128067016602,12.526442527770996,86
256,8,8,0.3,2.5407309532165527,2.5068347454071045,12.688940048217772,12.266043663024902,87
256,8,8,0.3,2.555882692337036,2.538362979888916,12.88266372680664,12.658930778503418,88
256,8,8,0.3,2.545233964920044,2.557933568954468,12.746204376220703,12.909116744995115,89
256,8,8,0.3,2.512600898742676,2.5672101974487305,12.33697509765625,13.029420852661133,90
256,8,8,0.3,2.5158586502075195,2.534308671951294,12.37723445892334,12.607708930969238,91
256,8,8,0.3,2.502038955688477,2.5165958404541016,12.207356452941896,12.386356353759766,92
256,8,8,0.3,2.535507917404175,2.5553536415100098,12.622838020324709,12.875843048095703,93
256,8,8,0.3,2.5191762447357178,2.5396816730499268,12.418363571166992,12.67563819885254,94
256,8,8,0.3,2.5183494091033936,2.5473625659942627,12.40810203552246,12.7733736038208,95
256,8,8,0.3,2.544885396957397,2.549982070922852,12.74177074432373,12.806878089904783,96
256,8,8,0.3,2.5456783771514893,2.4984097480773926,12.751873016357422,12.163129806518556,97
256,8,8,0.3,2.511533260345459,2.507800579071045,12.323805809020996,12.277896881103516,98
256,8,8,0.3,2.4992053508758545,2.56122088432312,12.17281723022461,12.951617240905762,99
256,8,8,0.3,2.4973275661468506,2.5356321334838867,12.149980545043944,12.624408721923828,100
256,8,8,0.3,2.547891139984131,2.4989447593688965,12.780123710632324,12.169648170471191,101
256,8,8,0.3,2.5158402919769287,2.513547658920288,12.377004623413086,12.348657608032228,102
256,8,8,0.3,2.4884226322174072,2.549791097640991,12.042272567749023,12.804426193237305,103
256,8,8,0.3,2.5134849548339844,2.51051664352417,12.34788990020752,12.311284065246582,104
256,8,8,0.3,2.5131876468658447,2.504108428955078,12.34422206878662,12.23264503479004,105
256,8,8,0.3,2.504202365875244,2.5030477046966557,12.233794212341309,12.219676971435549,106
256,8,8,0.3,2.504453182220459,2.5415823459625244,12.236865997314451,12.699753761291504,107
256,8,8,0.3,2.4992711544036865,2.4843077659606934,12.17361545562744,11.99281883239746,108
256,8,8,0.3,2.503981113433838,2.504668712615967,12.231084823608398,12.239506721496582,109
