n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity
128,4,8,0.3,4.548754692077637,3.960249185562134,94.51463317871094,52.47041320800781
128,4,8,0.3,3.974027156829834,3.7206060886383057,53.19833755493164,41.28940963745117
128,4,8,0.3,3.720731735229492,3.5833582878112793,41.29460144042969,35.994232177734375
128,4,8,0.3,3.621915340423584,3.5365889072418213,37.409141540527344,34.34955978393555
128,4,8,0.3,3.5327160358428955,3.481130599975586,34.216766357421875,32.49644088745117
128,4,8,0.3,3.4888370037078857,3.417677402496338,32.747825622558594,30.498489379882812
128,4,8,0.3,3.4385793209075928,3.390038013458252,31.142681121826172,29.667085647583008
128,4,8,0.3,3.393144130706787,3.3446404933929443,29.75937843322754,28.35036849975586
128,4,8,0.3,3.364783763885498,3.316453218460083,28.927236557006836,27.56241226196289
128,4,8,0.3,3.3124303817749023,3.2834465503692627,27.451763153076172,26.667505264282227
128,4,8,0.3,3.279232978820801,3.226854085922241,26.555391311645508,25.200273513793945
128,4,8,0.3,3.226767063140869,3.1921446323394775,25.19805145263672,24.340578079223633
128,4,8,0.3,3.183720111846924,3.1529715061187744,24.136383056640625,23.405506134033203
128,4,8,0.3,3.167062520980835,3.12424898147583,23.737659454345703,22.7427978515625
128,4,8,0.3,3.1351990699768066,3.0967187881469727,22.993213653564453,22.125219345092773
128,4,8,0.3,3.0935306549072266,3.0633480548858643,22.0548095703125,21.39908218383789
128,4,8,0.3,3.071010112762451,3.056253671646118,21.563674926757812,21.24781036376953
128,4,8,0.3,3.0327372550964355,3.012320041656494,20.753963470458984,20.334522247314453
128,4,8,0.3,3.0118091106414795,2.978545665740967,20.324129104614258,19.659204483032227
128,4,8,0.3,2.988645076751709,2.9976937770843506,19.858753204345703,20.039264678955078
128,4,8,0.3,2.9759771823883057,2.920045852661133,19.6087703704834,18.542129516601562
128,4,8,0.3,2.94185209274292,2.9255292415618896,18.9509220123291,18.644081115722656
128,4,8,0.3,2.9238502979278564,2.910939931869507,18.61281967163086,18.374061584472656
128,4,8,0.3,2.8933029174804688,2.8752310276031494,18.052837371826172,17.729515075683594
128,4,8,0.3,2.890073299407959,2.8588249683380127,17.994638442993164,17.441024780273438
128,4,8,0.3,2.897674322128296,2.823490619659424,18.131927490234375,16.835506439208984
128,4,8,0.3,2.861297130584717,2.858788013458252,17.48419189453125,17.440385818481445
128,4,8,0.3,2.8281118869781494,2.841733932495117,16.91349220275879,17.145477294921875
128,4,8,0.3,2.83528470993042,2.8380064964294434,17.035249710083008,17.08168601989746
128,4,8,0.3,2.829531669616699,2.781755208969116,16.937532424926758,16.147342681884766
128,4,8,0.3,2.8276658058166504,2.780346632003784,16.905954360961914,16.12461280822754
128,4,8,0.3,2.810736894607544,2.782038688659668,16.62216567993164,16.15192413330078
128,4,8,0.3,2.7981081008911133,2.763653516769409,16.413564682006836,15.857673645019531
128,4,8,0.3,2.785923957824707,2.772257089614868,16.214792251586914,15.994698524475098
128,4,8,0.3,2.7811312675476074,2.7600579261779785,16.137269973754883,15.80075454711914
128,4,8,0.3,2.7781991958618164,2.737550973892212,16.09001350402832,15.449100494384766
128,4,8,0.3,2.771413803100586,2.721137285232544,15.981212615966797,15.197592735290527
128,4,8,0.3,2.749882936477661,2.7268173694610596,15.6408052444458,15.28416919708252
128,4,8,0.3,2.7335216999053955,2.7366602420806885,15.38697338104248,15.435349464416504
128,4,8,0.3,2.7731311321258545,2.7162222862243652,16.008686065673828,15.12308406829834
128,4,8,0.3,2.7227749824523926,2.700664520263672,15.222509384155273,14.889625549316406
128,4,8,0.3,2.7501039505004883,2.7063937187194824,15.644250869750977,14.975176811218262
128,4,8,0.3,2.7236783504486084,2.713510751724243,15.236260414123535,15.082136154174805
128,4,8,0.3,2.720808982849121,2.6968088150024414,15.192615509033203,14.832324028015137
128,4,8,0.3,2.709944725036621,2.6969428062438965,15.0284423828125,14.834311485290527
128,4,8,0.3,2.7006375789642334,2.694324254989624,14.889232635498047,14.795524597167969
