n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity
256,8,8,0.2,4.493185043334961,4.232947826385498,89.40570831298828,68.9200668334961
256,8,8,0.2,4.249881267547607,4.027272701263428,70.09712219238281,56.10770797729492
256,8,8,0.2,4.029360294342041,3.881514549255371,56.22495651245117,48.49760818481445
256,8,8,0.2,3.8957736492156982,3.7699923515319824,49.19411087036133,43.37974166870117
256,8,8,0.2,3.7689199447631836,3.652526378631592,43.333194732666016,38.57197189331055
256,8,8,0.2,3.666022300720215,3.596740484237671,39.09610366821289,36.479129791259766
256,8,8,0.2,3.5898232460021973,3.5684220790863037,36.22768020629883,35.460601806640625
256,8,8,0.2,3.546030044555664,3.514000654220581,34.675384521484375,33.582340240478516
256,8,8,0.2,3.504750967025757,3.4670774936676025,33.27315902709961,32.042972564697266
256,8,8,0.2,3.48118257522583,3.4482803344726562,32.498138427734375,31.446260452270508
256,8,8,0.2,3.450592517852783,3.4267160892486572,31.519062042236328,30.775405883789062
256,8,8,0.2,3.416471004486084,3.3939011096954346,30.46172523498535,29.78191375732422
256,8,8,0.2,3.4111530780792236,3.3886516094207764,30.300153732299805,29.6259708404541
256,8,8,0.2,3.3832993507385254,3.3685402870178223,29.46784210205078,29.036113739013672
256,8,8,0.2,3.378234624862671,3.351989507675171,29.318971633911133,28.559476852416992
256,8,8,0.2,3.3477869033813477,3.328558921813965,28.43972396850586,27.898088455200195
256,8,8,0.2,3.3233959674835205,3.330125331878662,27.754451751708984,27.941837310791016
256,8,8,0.2,3.3192496299743652,3.305638074874878,27.639596939086914,27.265939712524414
256,8,8,0.2,3.3208470344543457,3.2913825511932373,27.68378257751465,26.880006790161133
256,8,8,0.2,3.293609857559204,3.2757434844970703,26.939929962158203,26.462894439697266
256,8,8,0.2,3.2871503829956055,3.275041103363037,26.7664794921875,26.444313049316406
256,8,8,0.2,3.282292604446411,3.26389217376709,26.636770248413086,26.151123046875
256,8,8,0.2,3.253812551498413,3.245880603790283,25.88884735107422,25.684329986572266
256,8,8,0.2,3.2305588722229004,3.21229887008667,25.293777465820312,24.83612823486328
256,8,8,0.2,3.2214717864990234,3.225597620010376,25.06498908996582,25.168609619140625
256,8,8,0.2,3.2311582565307617,3.1819915771484375,25.3089599609375,24.094680786132812
256,8,8,0.2,3.1974809169769287,3.187762975692749,24.470808029174805,24.234148025512695
256,8,8,0.2,3.184438705444336,3.1632003784179688,24.153728485107422,23.646162033081055
256,8,8,0.2,3.1762888431549072,3.1702473163604736,23.95769500732422,23.813379287719727
