n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity,iteracja
256,16,12,0.1,4.542497634887695,4.010234832763672,93.92510223388672,55.15982055664063,1
256,16,12,0.1,3.9889614582061768,3.819911003112793,53.99874114990234,45.60017013549805,2
256,16,12,0.1,3.849551916122437,3.738499641418457,46.97197723388672,42.03487777709961,3
256,16,12,0.1,3.733356714248657,3.649494171142578,41.81923675537109,38.45520782470703,4
256,16,12,0.1,3.65217399597168,3.5204646587371826,38.55839920043945,33.80012893676758,5
256,16,12,0.1,3.543864250183105,3.4330108165740967,34.60036849975586,30.969745635986328,6
256,16,12,0.1,3.4428186416625977,3.359026908874512,31.274986267089844,28.76121711730957,7
256,16,12,0.1,3.3730907440185547,3.338486671447754,29.16854858398437,28.176454544067383,8
256,16,12,0.1,3.353501081466675,3.320526361465454,28.602691650390625,27.6749210357666,9
256,16,12,0.1,3.350952625274658,3.3367576599121094,28.5299072265625,28.12778663635254,10
256,16,12,0.1,3.327016115188598,3.3218913078308105,27.8551025390625,27.71269989013672,11
256,16,12,0.1,3.3275952339172363,3.3056070804595947,27.87123680114746,27.26508140563965,12
256,16,12,0.1,3.303504943847656,3.2798593044281006,27.20783424377441,26.5720329284668,13
256,16,12,0.1,3.268538236618042,3.2378857135772705,26.27290153503418,25.479799270629883,14
256,16,12,0.1,3.255988121032715,3.182423591613769,25.94523811340332,24.105104446411133,15
256,16,12,0.1,3.199570417404175,3.1601369380950928,24.52201271057129,23.573829650878903,16
256,16,12,0.1,3.176664113998413,3.147175073623657,23.9666748046875,23.27022361755371,17
256,16,12,0.1,3.14499568939209,3.13934588432312,23.219575881958008,23.088754653930664,18
256,16,12,0.1,3.1104235649108887,3.0866756439208984,22.430543899536133,21.904150009155277,19
256,16,12,0.1,3.082292318344116,3.037559747695923,21.80833625793457,20.854286193847656,20
256,16,12,0.1,3.0656416416168213,3.0489401817321777,21.44822120666504,21.09298324584961,21
256,16,12,0.1,3.0507094860076904,2.9905693531036377,21.13031578063965,19.89699363708496,22
256,16,12,0.1,2.9889211654663086,2.9772114753723145,19.864246368408203,19.632984161376957,23
256,16,12,0.1,2.9696688652038574,2.955045223236084,19.48546600341797,19.202600479125977,24
256,16,12,0.1,2.954925775527954,2.944725513458252,19.20029830932617,19.00544548034668,25
256,16,12,0.1,2.984451532363892,2.902339220046997,19.775657653808597,18.21671295166016,26
256,16,12,0.1,2.900947332382202,2.910985946655273,18.191362380981445,18.37491226196289,27
256,16,12,0.1,2.889904260635376,2.858264446258545,17.9915828704834,17.43124771118164,28
256,16,12,0.1,2.889842987060547,2.8556525707244877,17.990493774414062,17.385774612426758,29
256,16,12,0.1,2.8956239223480225,2.8230977058410645,18.09478759765625,16.828899383544922,30
256,16,12,0.1,2.8466222286224365,2.80728530883789,17.229476928710938,16.564884185791016,31
256,16,12,0.1,2.8438963890075684,2.7747530937194824,17.182584762573242,16.034656524658203,32
256,16,12,0.1,2.815220355987549,2.762547016143799,16.696855545043945,15.840132713317873,33
256,16,12,0.1,2.769739866256714,2.75957989692688,15.954483032226562,15.79321002960205,34
256,16,12,0.1,2.793865203857422,2.747678518295288,16.344072341918945,15.606363296508787,35
256,16,12,0.1,2.774371385574341,2.768950939178467,16.028553009033203,15.941902160644531,36
256,16,12,0.1,2.7436747550964355,2.7160112857818604,15.543996810913086,15.11989688873291,37
256,16,12,0.1,2.735883474349976,2.716599702835083,15.423367500305176,15.128787994384766,38
256,16,12,0.1,2.7452282905578613,2.706421375274658,15.568166732788086,14.97558307647705,39
256,16,12,0.1,2.7026689052581787,2.6986446380615234,14.919508934020996,14.859577178955078,40
256,16,12,0.1,2.6961495876312256,2.683598279953003,14.822548866271973,14.637672424316406,41
256,16,12,0.1,2.7167625427246094,2.6976261138916016,15.131256103515623,14.84445095062256,42
256,16,12,0.1,2.690745115280152,2.662508726119995,14.742660522460938,14.332200050354004,43
256,16,12,0.1,2.6811835765838623,2.675396680831909,14.6023588180542,14.518104553222656,44
256,16,12,0.1,2.682187080383301,2.653151750564575,14.617027282714844,14.198719024658203,45
256,16,12,0.1,2.650914192199707,2.650561571121216,14.166984558105469,14.161986351013184,46
256,16,12,0.1,2.6896839141845703,2.6521127223968506,14.727020263671877,14.183977127075195,47
256,16,12,0.1,2.6694960594177246,2.648366689682007,14.432693481445312,14.130942344665527,48
