n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity
256,4,4,0.4,4.531745910644531,4.1622819900512695,92.92069244384766,64.21793365478516
256,4,4,0.4,4.1540093421936035,3.9090538024902344,63.688865661621094,49.85177230834961
256,4,4,0.4,3.9092180728912354,3.7380318641662598,49.85993957519531,42.01521682739258
256,4,4,0.4,3.7413368225097656,3.6139862537384033,42.154327392578125,37.113712310791016
256,4,4,0.4,3.624638319015503,3.542994737625122,37.51114273071289,34.57028579711914
256,4,4,0.4,3.5483200550079346,3.4789183139801025,34.7548828125,32.42462158203125
256,4,4,0.4,3.478492259979248,3.44646954536438,32.410831451416016,31.389392852783203
256,4,4,0.4,3.423945903778076,3.3983941078186035,30.69028663635254,29.916027069091797
256,4,4,0.4,3.4350249767303467,3.3602285385131836,31.032180786132812,28.795785903930664
256,4,4,0.4,3.375744581222534,3.3590750694274902,29.246051788330078,28.762588500976562
256,4,4,0.4,3.3516438007354736,3.3289077281951904,28.549619674682617,27.9078426361084
256,4,4,0.4,3.3310165405273438,3.3076090812683105,27.966758728027344,27.319700241088867
256,4,4,0.4,3.3043012619018555,3.3073387145996094,27.229515075683594,27.31234359741211
256,4,4,0.4,3.294203281402588,3.289262294769287,26.955923080444336,26.823068618774414
256,4,4,0.4,3.272597551345825,3.25433611869812,26.37975311279297,25.90241813659668
256,4,4,0.4,3.2560172080993652,3.2157185077667236,25.946006774902344,24.921186447143555
256,4,4,0.4,3.253657579421997,3.235931634902954,25.884849548339844,25.4300594329834
256,4,4,0.4,3.23042368888855,3.199413537979126,25.29037094116211,24.51814079284668
256,4,4,0.4,3.1953060626983643,3.1988656520843506,24.417640686035156,24.50471305847168
256,4,4,0.4,3.1864874362945557,3.146477460861206,24.20326805114746,23.25400161743164
256,4,4,0.4,3.1732139587402344,3.138188123703003,23.884117126464844,23.06203842163086
256,4,4,0.4,3.1626641750335693,3.1114249229431152,23.633481979370117,22.453025817871094
256,4,4,0.4,3.1263036727905273,3.096571207046509,22.789581298828125,22.121965408325195
256,4,4,0.4,3.1114704608917236,3.056044578552246,22.454042434692383,21.243364334106445
256,4,4,0.4,3.0726218223571777,3.042872428894043,21.598445892333984,20.965383529663086
256,4,4,0.4,3.0634050369262695,3.027815818786621,21.400312423706055,20.652076721191406
256,4,4,0.4,3.0072712898254395,3.0010828971862793,20.232118606567383,20.1072998046875
256,4,4,0.4,3.007053852081299,2.9796552658081055,20.227712631225586,19.6810302734375
256,4,4,0.4,2.985752582550049,3.001878499984741,19.80139923095703,20.123308181762695
256,4,4,0.4,2.9759747982025146,2.9740545749664307,19.608734130859375,19.57110595703125
256,4,4,0.4,2.9569947719573975,2.937108039855957,19.24005889892578,18.861221313476562
256,4,4,0.4,2.9622840881347656,2.9585859775543213,19.342103958129883,19.270708084106445
256,4,4,0.4,2.92484188079834,2.9363276958465576,18.631284713745117,18.846513748168945
256,4,4,0.4,2.921633720397949,2.905933141708374,18.571603775024414,18.282291412353516
256,4,4,0.4,2.900596857070923,2.8912107944488525,18.184995651245117,18.015100479125977
256,4,4,0.4,2.89076828956604,2.9073140621185303,18.007139205932617,18.307554244995117
256,4,4,0.4,2.8858516216278076,2.857029438018799,17.91881561279297,17.409732818603516
256,4,4,0.4,2.8714401721954346,2.8598825931549072,17.662433624267578,17.4594783782959
256,4,4,0.4,2.869050979614258,2.857348680496216,17.62029266357422,17.4152889251709
256,4,4,0.4,2.848398208618164,2.854790687561035,17.26011085510254,17.370805740356445
256,4,4,0.4,2.844095468521118,2.823331832885742,17.186002731323242,16.832849502563477
256,4,4,0.4,2.8466124534606934,2.844496011734009,17.229318618774414,17.192886352539062
256,4,4,0.4,2.8077850341796875,2.7997794151306152,16.573156356811523,16.441020965576172
256,4,4,0.4,2.8367419242858887,2.7877609729766846,17.06009292602539,16.244609832763672
256,4,4,0.4,2.7973906993865967,2.7966408729553223,16.40180206298828,16.38949966430664
256,4,4,0.4,2.7847092151641846,2.79156494140625,16.195110321044922,16.30652618408203
256,4,4,0.4,2.7836999893188477,2.782064914703369,16.178770065307617,16.15234375
256,4,4,0.4,2.7887775897979736,2.7654836177825928,16.26112937927246,15.886717796325684
256,4,4,0.4,2.7825870513916016,2.745387315750122,16.1607723236084,15.570647239685059
256,4,4,0.4,2.755664348602295,2.7601046562194824,15.73149585723877,15.801496505737305
256,4,4,0.4,2.7446513175964355,2.7189226150512695,15.559187889099121,15.163972854614258
256,4,4,0.4,2.755600929260254,2.7659029960632324,15.730490684509277,15.893393516540527
256,4,4,0.4,2.762636661529541,2.7681519985198975,15.841561317443848,15.929170608520508
256,4,4,0.4,2.7383663654327393,2.738710641860962,15.461706161499023,15.467026710510254
256,4,4,0.4,2.7505857944488525,2.7429981231689453,15.651805877685547,15.533486366271973
256,4,4,0.4,2.7683916091918945,2.7058136463165283,15.93298625946045,14.966485023498535
256,4,4,0.4,2.702808380126953,2.7220048904418945,14.921578407287598,15.210795402526855
256,4,4,0.4,2.727250576019287,2.711379289627075,15.29078197479248,15.050024032592773
256,4,4,0.4,2.7143187522888184,2.7117605209350586,15.094320297241211,15.05575942993164
256,4,4,0.4,2.732459306716919,2.7009613513946533,15.370638847351074,14.89404010772705
256,4,4,0.4,2.7071871757507324,2.724304437637329,14.987056732177734,15.24579906463623
256,4,4,0.4,2.7139618396759033,2.689370632171631,15.088927268981934,14.722407341003418
256,4,4,0.4,2.6927642822265625,2.6844027042388916,14.772454261779785,14.649453163146973
256,4,4,0.4,2.731602907180786,2.698801040649414,15.3574800491333,14.861902236938477
256,4,4,0.4,2.691800355911255,2.7123286724090576,14.758218765258789,15.064311981201172
256,4,4,0.4,2.70004940032959,2.6705129146575928,14.880462646484375,14.447381973266602
256,4,4,0.4,2.7114474773406982,2.683743476867676,15.051042556762695,14.639795303344727
256,4,4,0.4,2.7028591632843018,2.6895463466644287,14.92233657836914,14.724997520446777
256,4,4,0.4,2.6889286041259766,2.657744884490967,14.715900421142578,14.26408576965332
256,4,4,0.4,2.6677730083465576,2.6830742359161377,14.407851219177246,14.630000114440918
256,4,4,0.4,2.702690601348877,2.6496706008911133,14.919814109802246,14.149377822875977
256,4,4,0.4,2.695686101913452,2.6886072158813477,14.815670013427734,14.711174964904785
256,4,4,0.4,2.678344249725342,2.6444039344787598,14.560967445373535,14.075052261352539
256,4,4,0.4,2.6835882663726807,2.645751476287842,14.637526512145996,14.094032287597656
256,4,4,0.4,2.6743791103363037,2.6736416816711426,14.503337860107422,14.492650985717773
256,4,4,0.4,2.6567680835723877,2.6877458095550537,14.250163078308105,14.698515892028809
256,4,4,0.4,2.6779351234436035,2.6547014713287354,14.555011749267578,14.220743179321289
256,4,4,0.4,2.6634554862976074,2.652876853942871,14.34577465057373,14.194815635681152
256,4,4,0.4,2.6781842708587646,2.664597511291504,14.558638572692871,14.362160682678223
256,4,4,0.4,2.6710093021392822,2.6589338779449463,14.454550743103027,14.28105640411377
256,4,4,0.4,2.65285062789917,2.659738063812256,14.194443702697754,14.292545318603516
256,4,4,0.4,2.6640007495880127,2.65771484375,14.353599548339844,14.263650894165039
256,4,4,0.4,2.6786365509033203,2.652635097503662,14.565227508544922,14.191390991210938
256,4,4,0.4,2.6693241596221924,2.6400797367095947,14.430216789245605,14.014325141906738
256,4,4,0.4,2.6790997982025146,2.670302391052246,14.57197380065918,14.444343566894531
256,4,4,0.4,2.639747142791748,2.6602694988250732,14.009664535522461,14.300143241882324
256,4,4,0.4,2.653123140335083,2.6369214057922363,14.198312759399414,13.970132827758789
256,4,4,0.4,2.676762819290161,2.651545524597168,14.537958145141602,14.17593002319336
256,4,4,0.4,2.6482298374176025,2.6306889057159424,14.12900161743164,13.883330345153809
256,4,4,0.4,2.6417644023895264,2.6627049446105957,14.03795337677002,14.335012435913086
256,4,4,0.4,2.653106451034546,2.6720917224884033,14.19808292388916,14.470206260681152
256,4,4,0.4,2.626549005508423,2.628664016723633,13.825971603393555,13.855247497558594
256,4,4,0.4,2.643991231918335,2.640998125076294,14.069242477416992,14.027191162109375
256,4,4,0.4,2.647918224334717,2.6116902828216553,14.124603271484375,13.622056007385254
256,4,4,0.4,2.6427042484283447,2.635438919067383,14.051153182983398,13.949434280395508
256,4,4,0.4,2.6259031295776367,2.6362340450286865,13.817044258117676,13.960530281066895
256,4,4,0.4,2.6451261043548584,2.60727858543396,14.085224151611328,13.56209659576416
256,4,4,0.4,2.633690595626831,2.648325204849243,13.925066947937012,14.130355834960938
256,4,4,0.4,2.6310932636260986,2.6317648887634277,13.88894271850586,13.898283958435059
256,4,4,0.4,2.6338093280792236,2.625715494155884,13.926727294921875,13.814451217651367
256,4,4,0.4,2.6452150344848633,2.6540367603302,14.086474418640137,14.211294174194336
256,4,4,0.4,2.6190853118896484,2.6429741382598877,13.723159790039062,14.054946899414062
256,4,4,0.4,2.652099370956421,2.60469388961792,14.183780670166016,13.527083396911621
256,4,4,0.4,2.6449873447418213,2.6358461380004883,14.083270072937012,13.95511245727539
256,4,4,0.4,2.615379571914673,2.630422830581665,13.672402381896973,13.879640579223633
256,4,4,0.4,2.644676923751831,2.6713671684265137,14.078895568847656,14.459724426269531
256,4,4,0.4,2.6329727172851562,2.6382553577423096,13.915067672729492,13.988783836364746
256,4,4,0.4,2.5849194526672363,2.6342902183532715,13.262221336364746,13.933419227600098
256,4,4,0.4,2.600822687149048,2.637300968170166,13.474822044372559,13.97544002532959
256,4,4,0.4,2.6044516563415527,2.631993293762207,13.523807525634766,13.901449203491211
256,4,4,0.4,2.6312878131866455,2.6184580326080322,13.891651153564453,13.714556694030762
256,4,4,0.4,2.632181167602539,2.6236748695373535,13.904064178466797,13.786293029785156
256,4,4,0.4,2.618339776992798,2.6120941638946533,13.712942123413086,13.627555847167969
256,4,4,0.4,2.6086039543151855,2.600515842437744,13.580086708068848,13.470685005187988
256,4,4,0.4,2.6219482421875,2.607713222503662,13.762510299682617,13.567988395690918
256,4,4,0.4,2.5878984928131104,2.6259608268737793,13.301788330078125,13.817837715148926
256,4,4,0.4,2.60200572013855,2.616201400756836,13.490766525268555,13.683650016784668
256,4,4,0.4,2.6207454204559326,2.6150054931640625,13.745965957641602,13.6672945022583
256,4,4,0.4,2.6073737144470215,2.6322216987609863,13.563376426696777,13.90462875366211
256,4,4,0.4,2.613538980484009,2.6408193111419678,13.647265434265137,14.024686813354492
256,4,4,0.4,2.600213050842285,2.6080660820007324,13.466606140136719,13.572776794433594
256,4,4,0.4,2.608259439468384,2.6166110038757324,13.57540512084961,13.689252853393555
256,4,4,0.4,2.637260675430298,2.6136186122894287,13.974865913391113,13.64835262298584
