iteracja,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity
0,3.767479181289673,3.7647757530212402,82.0,43.016258239746094
10,3.554928779602051,3.557121515274048,39.25,34.656822204589844
20,3.4133875370025635,3.412400722503662,30.625,30.685405731201172
30,3.4058971405029297,3.4038944244384766,30.625,30.703332901000977
40,3.4058492183685303,3.401047706604004,30.125,30.072772979736328
50,3.325016498565674,3.3204751014709473,30.125,27.726364135742188
60,3.212766170501709,3.203690528869629,40.5,24.815351486206055
70,3.1773552894592285,3.165717840194702,39.25,23.87483787536621
80,3.1345348358154297,3.123087167739868,44.5,22.930694580078125
90,3.047996759414673,3.0386242866516113,50.5,21.311840057373047
100,2.921067714691162,2.9107882976531982,56.25,18.694747924804688
110,2.8073761463165283,2.792673110961914,70.0,17.015966415405273
120,2.744379997253418,2.7349746227264404,82.0,15.323254585266113
130,2.6971068382263184,2.691523551940918,90.0,15.134088516235352
140,2.666342258453369,2.664076566696167,102.0,14.493967056274414
150,2.6479721069335938,2.643178701400757,105.0,14.353336334228516
160,2.6295840740203857,2.6269824504852295,112.0,14.419376373291016
170,2.623782157897949,2.6205947399139404,112.0,14.090397834777832
180,2.6075475215911865,2.6050760746002197,115.5,13.355834007263184
190,2.601027727127075,2.598677635192871,123.0,13.588160514831543
200,2.5939693450927734,2.5919721126556396,123.0,13.312445640563965
210,2.588743209838867,2.588963508605957,127.0,13.873924255371094
220,2.580927848815918,2.583099603652954,123.0,13.51526927947998
230,2.5722906589508057,2.5739493370056152,123.0,13.279025077819824
240,2.5700502395629883,2.568760633468628,131.0,13.454212188720703
250,2.571540117263794,2.578784704208374,135.0,13.168472290039062
260,2.5543360710144043,2.558558225631714,135.0,13.194462776184082
270,2.556206703186035,2.5546584129333496,144.0,13.103774070739746
280,2.5469701290130615,2.549938917160034,139.0,12.995546340942383
290,2.544602394104004,2.54750919342041,148.0,12.953760147094727
300,2.549370765686035,2.5508203506469727,153.0,13.002876281738281
310,2.535860061645508,2.5355660915374756,144.0,12.863941192626953
320,2.5342659950256348,2.5376176834106445,148.0,12.812417984008789
330,2.526960849761963,2.530646800994873,148.0,12.495101928710938
340,2.52396297454834,2.5285866260528564,153.0,12.706229209899902
350,2.5201854705810547,2.5265443325042725,163.0,12.753393173217773
360,2.5186843872070312,2.521653175354004,148.0,12.682701110839844
370,2.5143091678619385,2.521124839782715,163.0,12.656251907348633
380,2.5092594623565674,2.515573501586914,168.0,12.429370880126953
390,2.510124921798706,2.510577917098999,179.0,12.50987434387207
400,2.502720355987549,2.5094285011291504,174.0,12.60416316986084
410,2.505845308303833,2.5087783336639404,163.0,12.264359474182129
420,2.4968247413635254,2.5014150142669678,163.0,12.099360466003418
430,2.494166374206543,2.4983410835266113,174.0,12.431056022644043
440,2.4881911277770996,2.495908260345459,163.0,12.23074722290039
450,2.482942819595337,2.4894797801971436,174.0,12.270176887512207
460,2.4819674491882324,2.4897170066833496,174.0,12.354683876037598
470,2.473907709121704,2.477740526199341,168.0,12.287174224853516
