n_embd,n_head,n_layer,dropout,final_train_loss,final_val_loss,final_train_perplexity,final_val_perplexity
256,8,8,0.2,4.6067023277282715,3.9706881046295166,100.15332794189453,53.020992279052734
256,8,8,0.2,3.9736361503601074,3.7219274044036865,53.177528381347656,41.3440055847168
256,8,8,0.2,3.728501081466675,3.5648694038391113,41.616668701171875,35.33482360839844
256,8,8,0.2,3.5681545734405518,3.491229295730591,35.45113754272461,32.82627487182617
256,8,8,0.2,3.5032684803009033,3.424548387527466,33.2238655090332,30.70878028869629
256,8,8,0.2,3.4370851516723633,3.373216390609741,31.09619903564453,29.172199249267578
256,8,8,0.2,3.3790533542633057,3.336765766143799,29.342958450317383,28.127992630004883
256,8,8,0.2,3.3522472381591797,3.3235437870025635,28.56687355041504,27.758541107177734
256,8,8,0.2,3.328068494796753,3.295609951019287,27.884450912475586,26.993894577026367
256,8,8,0.2,3.3108112812042236,3.2778615951538086,27.407371520996094,26.51901626586914
256,8,8,0.2,3.254577875137329,3.2293238639831543,25.908681869506836,25.262569427490234
256,8,8,0.2,3.254910469055176,3.201443672180176,25.917306900024414,24.567962646484375
256,8,8,0.2,3.2147982120513916,3.1822831630706787,24.89827537536621,24.101701736450195
256,8,8,0.2,3.1659226417541504,3.1365416049957275,23.71061134338379,23.024099349975586
256,8,8,0.2,3.1642653942108154,3.1293017864227295,23.671354293823242,22.858009338378906
256,8,8,0.2,3.0946857929229736,3.096768856048584,22.080305099487305,22.126340866088867
256,8,8,0.2,3.0814208984375,3.0673704147338867,21.789344787597656,21.485332489013672
256,8,8,0.2,3.0781962871551514,3.0136232376098633,21.719196319580078,20.361034393310547
256,8,8,0.2,3.038435220718384,3.026371955871582,20.872547149658203,20.622283935546875
256,8,8,0.2,3.0306243896484375,2.9827005863189697,20.710161209106445,19.741056442260742
256,8,8,0.2,3.016812324523926,2.9616639614105225,20.42608642578125,19.330110549926758
256,8,8,0.2,2.9672024250030518,2.980126142501831,19.437469482421875,19.690296173095703
256,8,8,0.2,2.93929123878479,2.9437904357910156,18.902442932128906,18.987686157226562
256,8,8,0.2,2.926074504852295,2.9032790660858154,18.654264450073242,18.233842849731445
256,8,8,0.2,2.921311140060425,2.8973968029022217,18.56561851501465,18.126888275146484
256,8,8,0.2,2.8775720596313477,2.8873472213745117,17.771072387695312,17.945640563964844
256,8,8,0.2,2.9060463905334473,2.891650676727295,18.28436279296875,18.023042678833008
256,8,8,0.2,2.8675336837768555,2.867042303085327,17.593582153320312,17.58492088317871
256,8,8,0.2,2.838397264480591,2.8237833976745605,17.088350296020508,16.840444564819336
256,8,8,0.2,2.832915782928467,2.8417975902557373,16.994943618774414,17.146564483642578
256,8,8,0.2,2.85512113571167,2.808671236038208,17.376543045043945,16.587862014770508
256,8,8,0.2,2.808382034301758,2.7763776779174805,16.583057403564453,16.060747146606445
256,8,8,0.2,2.812756061553955,2.790376901626587,16.655759811401367,16.287153244018555
256,8,8,0.2,2.782316207885742,2.7777352333068848,16.156400680541992,16.082557678222656
256,8,8,0.2,2.748643636703491,2.766820192337036,15.621432304382324,15.907965660095215
256,8,8,0.2,2.762054443359375,2.7457334995269775,15.832340240478516,15.576031684875488
256,8,8,0.2,2.790931224822998,2.743643045425415,16.296184539794922,15.54350757598877
256,8,8,0.2,2.7592976093292236,2.739410638809204,15.788761138916016,15.477849006652832
256,8,8,0.2,2.741537094116211,2.7358977794647217,15.510808944702148,15.423587799072266
256,8,8,0.2,2.728182077407837,2.711463212966919,15.305035591125488,15.05128002166748
256,8,8,0.2,2.7211947441101074,2.7192676067352295,15.198469161987305,15.169204711914062
256,8,8,0.2,2.723238468170166,2.708524465560913,15.229562759399414,15.007119178771973
256,8,8,0.2,2.727874755859375,2.6986100673675537,15.300329208374023,14.859067916870117
256,8,8,0.2,2.7320709228515625,2.682497024536133,15.364673614501953,14.62155532836914
256,8,8,0.2,2.699018716812134,2.713193416595459,14.865141868591309,15.077347755432129
256,8,8,0.2,2.6898207664489746,2.7009408473968506,14.729039192199707,14.8937349319458
256,8,8,0.2,2.6697402000427246,2.6797595024108887,14.43621826171875,14.581583023071289
256,8,8,0.2,2.6691012382507324,2.6708250045776367,14.426989555358887,14.451888084411621
256,8,8,0.2,2.696078062057495,2.67606782913208,14.821492195129395,14.527861595153809
256,8,8,0.2,2.6882426738739014,2.7192494869232178,14.705806732177734,15.168936729431152
256,8,8,0.2,2.681440830230713,2.6744136810302734,14.60612964630127,14.503846168518066
256,8,8,0.2,2.6657886505126953,2.663666009902954,14.379281997680664,14.348788261413574
256,8,8,0.2,2.6625711917877197,2.6438934803009033,14.333098411560059,14.067867279052734
256,8,8,0.2,2.664435863494873,2.652620553970337,14.359847068786621,14.191183090209961
256,8,8,0.2,2.6843509674072266,2.649026870727539,14.648687362670898,14.140275001525879
256,8,8,0.2,2.6587328910827637,2.6539225578308105,14.278180122375488,14.209675788879395
256,8,8,0.2,2.643970012664795,2.6559319496154785,14.068946838378906,14.238249778747559
256,8,8,0.2,2.655521869659424,2.6506221294403076,14.23240852355957,14.162842750549316
256,8,8,0.2,2.6525955200195312,2.623763084411621,14.190827369689941,13.78750991821289
256,8,8,0.2,2.6311981678009033,2.633657932281494,13.890399932861328,13.924612045288086
256,8,8,0.2,2.653317928314209,2.6310107707977295,14.201078414916992,13.88780403137207
256,8,8,0.2,2.6447365283966064,2.621622085571289,14.079737663269043,13.758015632629395
256,8,8,0.2,2.6460797786712646,2.616994857788086,14.09865665435791,13.694514274597168
256,8,8,0.2,2.6360082626342773,2.6368861198425293,13.957374572753906,13.969635963439941
256,8,8,0.2,2.641780138015747,2.598696708679199,14.038167953491211,13.446202278137207
256,8,8,0.2,2.627289295196533,2.6344027519226074,13.836214065551758,13.93498420715332
256,8,8,0.2,2.635769844055176,2.6303415298461914,13.95405101776123,13.878508567810059
256,8,8,0.2,2.6330838203430176,2.619046926498413,13.916620254516602,13.722636222839355
256,8,8,0.2,2.632369041442871,2.641559600830078,13.90667724609375,14.035079956054688
256,8,8,0.2,2.6257665157318115,2.6370997428894043,13.815156936645508,13.972627639770508
256,8,8,0.2,2.629866361618042,2.6448678970336914,13.871910095214844,14.081587791442871
256,8,8,0.2,2.6388866901397705,2.6033267974853516,13.997611999511719,13.508609771728516
256,8,8,0.2,2.631856918334961,2.630615711212158,13.899557113647461,13.882311820983887
256,8,8,0.2,2.610384225845337,2.638550281524658,13.604273796081543,13.992899894714355
256,8,8,0.2,2.6288068294525146,2.590869903564453,13.857222557067871,13.3413724899292
256,8,8,0.2,2.6233623027801514,2.611137628555298,13.781984329223633,13.614530563354492
256,8,8,0.2,2.601970672607422,2.6180388927459717,13.490299224853516,13.708809852600098
256,8,8,0.2,2.6204068660736084,2.6176695823669434,13.741316795349121,13.703754425048828
256,8,8,0.2,2.6113369464874268,2.625746965408325,13.617243766784668,13.81489372253418
256,8,8,0.2,2.621783971786499,2.637239456176758,13.760246276855469,13.974574089050293
256,8,8,0.2,2.6030611991882324,2.622515916824341,13.505012512207031,13.770331382751465
256,8,8,0.2,2.589616060256958,2.628776788711548,13.324645042419434,13.856807708740234
256,8,8,0.2,2.58101749420166,2.6035375595092773,13.210577011108398,13.511454582214355
256,8,8,0.2,2.602656364440918,2.596290111541748,13.499549865722656,13.413887977600098
256,8,8,0.2,2.624253511428833,2.6032440662384033,13.794269561767578,13.507485389709473
256,8,8,0.2,2.595053195953369,2.6018738746643066,13.397307395935059,13.488997459411621
256,8,8,0.2,2.5925285816192627,2.6104164123535156,13.363516807556152,13.604715347290039
256,8,8,0.2,2.597043037414551,2.6004106998443604,13.42398452758789,13.469265937805176
256,8,8,0.2,2.6229801177978516,2.59313702583313,13.776719093322754,13.37165355682373
256,8,8,0.2,2.621591567993164,2.6099605560302734,13.75760269165039,13.598515510559082
256,8,8,0.2,2.6205437183380127,2.6151885986328125,13.74319076538086,13.669795036315918
256,8,8,0.2,2.600635051727295,2.616637706756592,13.472291946411133,13.689618110656738
256,8,8,0.2,2.605626106262207,2.6061322689056396,13.539693832397461,13.546551704406738
256,8,8,0.2,2.584918975830078,2.571706533432007,13.262214660644531,13.08813762664795
256,8,8,0.2,2.6105329990386963,2.5740394592285156,13.606298446655273,13.118709564208984
256,8,8,0.2,2.5937819480895996,2.593406915664673,13.38028335571289,13.375259399414062
256,8,8,0.2,2.591279983520508,2.5790867805480957,13.346837997436523,13.185098648071289
256,8,8,0.2,2.579134225845337,2.5837655067443848,13.185713768005371,13.246929168701172
256,8,8,0.2,2.59940242767334,2.6272006034851074,13.455695152282715,13.835000038146973
256,8,8,0.2,2.6006181240081787,2.6008262634277344,13.472060203552246,13.474867820739746
256,8,8,0.2,2.58642840385437,2.598015069961548,13.282251358032227,13.437036514282227
256,8,8,0.2,2.6011314392089844,2.59791898727417,13.478983879089355,13.435751914978027
256,8,8,0.2,2.5998520851135254,2.5813097953796387,13.461747169494629,13.214428901672363
256,8,8,0.2,2.6098008155822754,2.598954916000366,13.596343040466309,13.449677467346191
256,8,8,0.2,2.568452835083008,2.57619047164917,13.045621871948242,13.14695930480957
256,8,8,0.2,2.61106014251709,2.592968463897705,13.613471984863281,13.369405746459961
256,8,8,0.2,2.6163523197174072,2.584867477416992,13.685714721679688,13.261534690856934
256,8,8,0.2,2.568227767944336,2.5663585662841797,13.042695999145508,13.018335342407227
256,8,8,0.2,2.6054329872131348,2.576770305633545,13.53708553314209,13.154584884643555
